week_start,doses_per_week,boosters_per_week
29-Nov-21,180000,1800000
06-Dec-21,160000,1400000
13-Dec-21,120000,4000000
20-Dec-21,120000,6000000
27-Dec-21,120000,6000000
03-Jan-22,120000,5000000
10-Jan-22,120000,1000000
17-Jan-22,0,500000
24-Jan-22,0,300000
31-Jan-22,0,200000
07-Feb-22,0,100000
14-Feb-22,0,100000
21-Feb-22,0,100000
28-Feb-22,0,100000
