date,total,0_to_5,6_to_17,18_to_24,25_to_34,35_to_44,45_to_54,55_to_64,65_to_74,75_to_84,85plus,age_unknown,total_wout_unknown,0_to_34,35_to_54,55_to_74,75plus
12/10/2020,647,8,8,20,18,32,50,89,117,156,139,10,637,54,82,206,295
13/10/2020,744,6,5,19,26,37,80,124,145,168,120,14,730,56,117,269,288
14/10/2020,688,4,8,14,41,26,63,86,139,167,116,24,664,67,89,225,283
15/10/2020,769,2,3,13,39,34,65,106,131,210,163,3,766,57,99,237,373
16/10/2020,611,7,5,11,22,30,61,91,113,144,110,17,594,45,91,204,254
17/10/2020,756,5,4,18,33,39,58,86,127,189,153,44,712,60,97,213,342
18/10/2020,847,13,7,15,29,41,77,118,166,192,163,26,821,64,118,284,355
19/10/2020,842,9,13,17,22,49,87,109,146,214,157,19,823,61,136,255,371
20/10/2020,892,4,9,21,36,40,80,102,177,227,196,0,892,70,120,279,423
21/10/2020,938,7,11,16,26,47,86,130,171,260,165,19,919,60,133,301,425
22/10/2020,945,5,3,18,26,41,90,119,171,241,227,4,941,52,131,290,468
23/10/2020,965,8,6,12,33,28,85,144,169,264,203,13,952,59,113,313,467
24/10/2020,937,8,2,9,26,52,75,123,187,273,174,8,929,45,127,310,447
25/10/2020,1136,7,8,22,41,62,105,136,220,281,220,34,1102,78,167,356,501
26/10/2020,1233,12,4,21,39,66,120,195,234,298,221,23,1210,76,186,429,519
27/10/2020,1153,6,8,16,47,51,120,165,192,291,227,30,1123,77,171,357,518
28/10/2020,1190,6,7,19,47,45,112,176,213,314,240,11,1179,79,157,389,554
29/10/2020,1271,11,4,13,48,54,110,181,251,330,240,29,1242,76,164,432,570
30/10/2020,1028,5,8,24,47,43,92,136,217,234,186,36,992,84,135,353,420
31/10/2020,1163,11,6,17,38,54,97,143,234,298,244,21,1142,72,151,377,542
01/11/2020,1231,9,11,20,46,46,97,163,233,330,250,26,1205,86,143,396,580
02/11/2020,1270,10,10,16,46,66,114,179,231,317,270,11,1259,82,180,410,587
03/11/2020,1201,11,15,14,35,53,111,143,228,325,250,16,1185,75,164,371,575
04/11/2020,1326,10,10,9,52,58,125,195,247,336,276,8,1318,81,183,442,612
05/11/2020,1291,6,9,15,43,58,96,176,248,329,293,18,1273,73,154,424,622
06/11/2020,1125,7,12,23,47,42,99,155,202,307,220,11,1114,89,141,357,527
07/11/2020,1258,6,6,17,52,56,139,169,225,319,252,17,1241,81,195,394,571
08/11/2020,1437,10,6,24,59,57,125,178,265,397,302,14,1423,99,182,443,699
09/11/2020,1508,9,13,22,68,61,116,207,286,386,326,14,1494,112,177,493,712
10/11/2020,1524,4,12,22,66,54,130,206,278,403,331,18,1506,104,184,484,734
11/11/2020,1627,6,14,17,70,83,132,212,312,393,363,25,1602,107,215,524,756
12/11/2020,1612,12,12,25,58,90,134,215,308,402,330,26,1586,107,224,523,732
13/11/2020,1373,10,15,25,48,60,139,178,273,368,235,22,1351,98,199,451,603
14/11/2020,1335,8,12,20,55,72,128,170,261,355,251,3,1332,95,200,431,606
15/11/2020,1433,5,11,15,47,64,124,215,267,399,286,0,1433,78,188,482,685
16/11/2020,1506,8,11,20,47,77,125,194,314,392,318,0,1506,86,202,508,710
17/11/2020,1424,6,11,21,58,75,132,181,255,400,285,0,1424,96,207,436,685
18/11/2020,1499,5,9,18,59,81,136,211,284,389,307,0,1499,91,217,495,696
19/11/2020,1396,9,7,14,45,65,137,193,262,358,304,2,1394,75,202,455,662
20/11/2020,1249,10,11,12,48,60,115,151,259,311,272,0,1249,81,175,410,583
21/11/2020,1204,8,15,15,38,55,109,175,233,300,256,0,1204,76,164,408,556
22/11/2020,1284,10,12,18,49,77,116,170,232,306,294,0,1284,89,193,402,600
23/11/2020,1341,10,12,17,59,79,128,181,257,317,281,0,1341,98,207,438,598
24/11/2020,1233,10,8,30,46,67,97,170,223,320,262,0,1233,94,164,393,582
25/11/2020,1342,6,11,28,50,81,115,171,227,366,287,0,1342,95,196,398,653
26/11/2020,1117,10,7,18,47,57,100,147,194,281,256,0,1117,82,157,341,537
27/11/2020,1004,9,15,16,39,51,90,136,181,251,216,0,1004,79,141,317,467
