date,total,0_to_5,6_to_17,18_to_24,25_to_34,35_to_44,45_to_54,55_to_64,65_to_74,75_to_84,85plus,age_unknown,total_wout_unknown,0_to_34,35_to_54,55_to_74,75plus
28/11/2020,1015,9,5,11,45,59,76,103,182,253,272,0,1015,70,135,285,525
29/11/2020,1160,9,12,13,49,58,101,147,184,305,282,0,1160,83,159,331,587
30/11/2020,1166,6,10,15,46,57,100,137,196,311,288,0,1166,77,157,333,599
01/12/2020,1189,7,5,10,47,55,104,162,204,296,278,21,1168,69,159,366,574
02/12/2020,1181,9,19,16,42,70,98,137,199,308,279,4,1177,86,168,336,587
03/12/2020,1253,9,9,14,50,58,96,173,237,323,283,1,1252,82,154,410,606
04/12/2020,1173,8,10,13,53,64,115,123,192,277,278,40,1133,84,179,315,555
05/12/2020,1120,6,9,13,30,57,115,131,203,281,262,13,1107,58,172,334,543
06/12/2020,1257,5,11,13,53,53,96,156,205,346,319,0,1257,82,149,361,665
07/12/2020,1383,6,17,14,51,59,118,163,253,331,371,0,1383,88,177,416,702
08/12/2020,1451,9,9,23,49,75,127,177,261,365,356,0,1451,90,202,438,721
09/12/2020,1445,7,19,22,44,81,104,188,227,368,385,0,1445,92,185,415,753
10/12/2020,1422,8,14,24,44,66,126,180,236,356,368,0,1422,90,192,416,724
11/12/2020,1358,6,7,18,47,67,122,181,215,348,345,2,1356,78,189,396,693
12/12/2020,1501,17,10,16,40,74,127,174,257,387,398,1,1500,83,201,431,785
13/12/2020,1516,12,12,16,56,69,134,196,245,394,378,4,1512,96,203,441,772
14/12/2020,1643,12,15,21,51,78,140,198,286,412,420,10,1633,99,218,484,832
15/12/2020,1638,13,16,27,60,86,132,186,276,443,399,0,1638,116,218,462,842
16/12/2020,1691,17,11,24,56,90,142,210,303,439,399,0,1691,108,232,513,838
17/12/2020,1764,19,12,16,77,99,148,242,285,455,411,0,1764,124,247,527,866
18/12/2020,1592,15,20,21,75,92,142,210,270,402,345,0,1592,131,234,480,747
19/12/2020,1726,13,12,27,67,95,163,249,287,435,378,0,1726,119,258,536,813
20/12/2020,1885,16,16,24,80,107,211,260,290,450,431,0,1885,136,318,550,881
21/12/2020,2064,17,17,30,89,132,197,282,377,464,459,0,2064,153,329,659,923
22/12/2020,2092,25,12,16,84,123,220,299,374,502,437,0,2092,137,343,673,939
23/12/2020,1889,11,14,30,91,97,221,255,308,464,380,18,1871,146,318,563,844
24/12/2020,1717,14,9,17,63,114,213,238,315,389,333,12,1705,103,327,553,722
25/12/2020,1902,12,11,23,79,134,212,286,344,424,362,15,1887,125,346,630,786
26/12/2020,2224,17,12,25,87,158,238,324,405,493,450,15,2209,141,396,729,943
27/12/2020,2508,27,20,23,91,161,330,394,427,546,482,7,2501,161,491,821,1028
28/12/2020,2711,29,19,41,126,182,305,379,463,615,528,24,2687,215,487,842,1143
29/12/2020,2776,22,15,45,124,177,299,414,493,619,542,26,2750,206,476,907,1161
30/12/2020,2765,20,17,37,128,195,290,451,435,607,562,23,2742,202,485,886,1169
31/12/2020,2425,19,12,33,116,155,249,389,417,585,444,6,2419,180,404,806,1029
01/01/2021,2932,19,20,30,128,166,308,448,557,689,567,0,2932,197,474,1005,1256
02/01/2021,3018,18,18,36,101,219,317,453,538,731,587,0,3018,173,536,991,1318
03/01/2021,3241,20,21,61,152,198,361,501,543,758,626,0,3241,254,559,1044,1384
04/01/2021,3410,28,25,37,132,219,335,562,588,801,683,0,3410,222,554,1150,1484
05/01/2021,3542,26,20,59,149,229,373,533,674,776,699,4,3538,254,602,1207,1475
06/01/2021,3789,24,23,50,140,229,417,604,705,873,724,0,3789,237,646,1309,1597
07/01/2021,3686,24,23,44,160,173,372,625,670,843,752,0,3686,251,545,1295,1595
08/01/2021,3376,29,14,40,129,193,366,497,623,804,681,0,3376,212,559,1120,1485
09/01/2021,3532,20,8,48,126,190,363,562,656,843,716,0,3532,202,553,1218,1559
10/01/2021,3404,14,16,43,112,192,331,502,676,781,737,0,3404,185,523,1178,1518
11/01/2021,3687,16,19,44,153,209,388,597,704,817,740,0,3687,232,597,1301,1557
12/01/2021,3899,27,17,49,159,217,389,624,718,899,800,0,3899,252,606,1342,1699
13/01/2021,3594,32,13,51,171,222,363,523,707,827,683,2,3592,267,585,1230,1510
14/01/2021,3421,21,13,44,135,210,347,566,640,748,697,0,3421,213,557,1206,1445
15/01/2021,3116,20,13,56,116,170,328,507,589,698,612,7,3109,205,498,1096,1310
16/01/2021,3381,25,23,46,108,188,355,563,585,760,725,3,3378,202,543,1148,1485
17/01/2021,3276,17,10,40,109,170,371,486,606,744,723,0,3276,176,541,1092,1467
18/01/2021,3548,15,20,42,132,196,331,592,688,805,727,0,3548,209,527,1280,1532
19/01/2021,3565,25,18,48,138,203,377,610,623,817,706,0,3565,229,580,1233,1523
20/01/2021,3468,20,25,49,141,213,400,535,610,764,711,0,3468,235,613,1145,1475
21/01/2021,3071,15,17,31,111,186,341,541,562,686,581,0,3071,174,527,1103,1267
22/01/2021,2835,24,18,38,126,164,301,531,486,611,536,0,2835,206,465,1017,1147
23/01/2021,2629,24,10,28,107,138,276,418,474,593,561,0,2629,169,414,892,1154
24/01/2021,2677,26,12,43,111,144,297,430,488,589,537,0,2677,192,441,918,1126
25/01/2021,2520,19,20,36,112,167,279,410,476,549,452,0,2520,187,446,886,1001
26/01/2021,2647,20,20,40,108,155,260,455,480,577,532,0,2647,188,415,935,1109
27/01/2021,2593,11,11,40,99,184,276,422,464,557,529,0,2593,161,460,886,1086
28/01/2021,2567,16,12,36,101,161,291,429,437,595,489,0,2567,165,452,866,1084
29/01/2021,2245,19,15,38,94,116,245,394,402,485,437,0,2245,166,361,796,922
30/01/2021,2063,16,12,34,86,111,189,359,360,470,426,0,2063,148,300,719,896
31/01/2021,2058,13,14,40,82,137,192,343,395,451,391,0,2058,149,329,738,842
01/02/2021,2251,20,20,22,83,149,237,397,405,490,428,0,2251,145,386,802,918
02/02/2021,2125,23,16,32,77,127,190,324,422,494,420,0,2125,148,317,746,914
03/02/2021,1996,11,18,30,97,108,216,291,362,463,400,0,1996,156,324,653,863
04/02/2021,1791,12,14,26,85,117,164,300,341,389,343,0,1791,137,281,641,732
05/02/2021,1650,12,14,32,77,126,170,265,300,351,303,0,1650,135,296,565,654
06/02/2021,1589,3,11,33,63,104,160,258,286,333,338,0,1589,110,264,544,671
07/02/2021,1604,17,7,28,66,106,179,283,289,303,321,5,1599,118,285,572,624
08/02/2021,1676,17,18,21,72,102,191,278,332,336,305,4,1672,128,293,610,641
09/02/2021,1472,11,8,26,72,90,151,236,289,306,283,0,1472,117,241,525,589
10/02/2021,1463,17,10,21,81,94,137,233,282,309,279,0,1463,129,231,515,588
11/02/2021,1353,16,10,17,65,88,148,250,228,263,268,0,1353,108,236,478,531
12/02/2021,1253,7,6,21,67,77,138,208,273,257,199,0,1253,101,215,481,456
13/02/2021,1169,9,9,27,59,71,127,199,211,220,237,0,1169,104,198,410,457
14/02/2021,1305,14,11,29,61,81,135,228,221,271,254,0,1305,115,216,449,525
15/02/2021,1281,14,6,20,60,70,145,204,236,279,247,0,1281,100,215,440,526
16/02/2021,1233,7,12,13,57,95,148,211,231,243,216,0,1233,89,243,442,459
17/02/2021,1173,6,10,17,61,69,139,201,238,210,222,0,1173,94,208,439,432
18/02/2021,1087,7,6,20,58,71,117,183,215,227,183,0,1087,91,188,398,410
19/02/2021,995,13,9,17,55,72,111,158,177,216,167,0,995,94,183,335,383
20/02/2021,859,9,8,23,42,63,93,162,157,147,148,7,852,82,156,319,295
21/02/2021,976,13,5,18,48,77,97,174,179,179,182,4,972,84,174,353,361
22/02/2021,937,8,12,30,47,79,98,164,180,171,134,14,923,97,177,344,305
23/02/2021,944,14,11,16,55,76,116,178,164,174,140,0,944,96,192,342,314
24/02/2021,826,10,4,9,41,68,104,159,156,138,137,0,826,64,172,315,275
25/02/2021,798,11,9,12,52,56,108,148,123,147,132,0,798,84,164,271,279
26/02/2021,676,10,7,17,34,48,73,124,127,115,121,0,676,68,121,251,236
27/02/2021,599,2,1,12,35,41,65,120,107,114,102,0,599,50,106,227,216
28/02/2021,640,4,13,14,32,49,68,125,122,107,106,0,640,63,117,247,213
01/03/2021,688,4,7,13,39,55,82,130,121,128,109,0,688,63,137,251,237
02/03/2021,663,6,11,7,42,43,73,118,119,131,113,0,663,66,116,237,244
03/03/2021,587,9,7,16,28,47,65,109,95,107,104,0,587,60,112,204,211
04/03/2021,568,7,6,12,43,48,64,95,100,95,98,0,568,68,112,195,193
05/03/2021,475,4,8,16,35,39,57,75,71,82,88,0,475,63,96,146,170
06/03/2021,505,7,3,13,31,31,54,88,83,84,111,0,505,54,85,171,195
07/03/2021,444,4,2,9,33,28,55,92,70,74,77,0,444,48,83,162,151
08/03/2021,482,6,7,10,39,39,59,93,69,98,62,0,482,62,98,162,160
09/03/2021,467,10,7,11,22,34,51,72,69,100,91,0,467,50,85,141,191
10/03/2021,468,11,3,8,39,33,54,84,70,79,87,0,468,61,87,154,166
11/03/2021,437,7,3,19,24,29,60,79,62,84,70,0,437,53,89,141,154
12/03/2021,372,3,5,13,22,38,48,67,33,71,72,0,372,43,86,100,143
13/03/2021,373,2,3,12,32,33,41,67,58,66,59,0,373,49,74,125,125
14/03/2021,350,5,9,8,23,28,43,60,39,70,62,3,347,45,71,99,132
15/03/2021,414,5,8,11,30,32,62,52,71,79,62,2,412,54,94,123,141
16/03/2021,345,4,3,10,29,15,44,63,46,64,67,0,345,46,59,109,131
17/03/2021,327,2,3,9,29,25,45,47,55,69,42,1,326,43,70,102,111
18/03/2021,343,1,7,16,37,23,35,51,53,67,53,0,343,61,58,104,120
19/03/2021,275,4,5,6,23,29,35,42,36,48,47,0,275,38,64,78,95
20/03/2021,276,8,6,12,17,22,39,33,27,60,52,0,276,43,61,60,112
21/03/2021,267,7,2,6,22,26,29,44,45,39,47,0,267,37,55,89,86
22/03/2021,286,6,6,12,22,18,43,36,42,57,44,0,286,46,61,78,101
23/03/2021,286,7,7,9,27,27,29,40,33,40,65,2,284,50,56,73,105
24/03/2021,269,4,3,12,19,23,30,45,44,45,42,2,267,38,53,89,87
25/03/2021,277,4,6,7,14,32,37,40,45,48,44,0,277,31,69,85,92
26/03/2021,233,5,8,7,19,24,17,39,39,45,30,0,233,39,41,78,75
27/03/2021,205,1,5,8,10,29,19,29,24,46,33,1,204,24,48,53,79
28/03/2021,210,3,4,8,15,23,23,30,36,33,35,0,210,30,46,66,68
29/03/2021,202,2,5,5,21,17,29,30,26,41,26,0,202,33,46,56,67
30/03/2021,210,5,7,2,16,22,35,32,32,31,28,0,210,30,57,64,59
31/03/2021,219,6,5,6,12,26,37,28,29,35,35,0,219,29,63,57,70
01/04/2021,177,4,2,7,12,17,19,28,36,29,23,0,177,25,36,64,52
02/04/2021,170,6,1,3,14,23,14,26,29,25,29,0,170,24,37,55,54
03/04/2021,169,2,4,5,13,17,30,18,23,31,26,0,169,24,47,41,57
04/04/2021,151,3,3,7,16,14,20,21,21,21,25,0,151,29,34,42,46
05/04/2021,182,4,9,4,7,20,29,23,23,38,25,0,182,24,49,46,63
06/04/2021,181,0,3,7,17,27,19,35,17,30,26,0,181,27,46,52,56
07/04/2021,184,2,5,7,18,16,18,29,24,32,33,0,184,32,34,53,65
08/04/2021,164,2,5,5,16,16,25,31,19,26,18,1,163,28,41,50,44
09/04/2021,158,2,4,8,9,18,20,20,27,34,16,0,158,23,38,47,50
10/04/2021,145,3,2,4,12,7,23,25,21,25,23,0,145,21,30,46,48
11/04/2021,172,3,4,8,20,19,20,25,19,27,27,0,172,35,39,44,54
12/04/2021,168,3,4,7,12,17,22,21,26,39,17,0,168,26,39,47,56
13/04/2021,149,0,1,7,13,18,20,21,17,28,24,0,149,21,38,38,52
14/04/2021,151,5,4,2,18,19,11,24,17,24,27,0,151,29,30,41,51
15/04/2021,127,2,2,1,13,13,16,18,15,31,16,0,127,18,29,33,47
16/04/2021,108,2,1,3,9,15,19,14,17,14,14,0,108,15,34,31,28
17/04/2021,120,3,1,2,13,15,17,12,16,19,22,0,120,19,32,28,41
18/04/2021,109,1,1,2,8,14,10,20,13,21,19,0,109,12,24,33,40
19/04/2021,132,1,3,4,8,20,12,16,23,31,14,0,132,16,32,39,45
20/04/2021,95,1,1,8,8,11,7,12,21,13,13,0,95,18,18,33,26
21/04/2021,120,2,1,5,13,9,13,19,26,14,18,0,120,21,22,45,32
22/04/2021,88,1,3,3,6,14,10,8,12,17,14,0,88,13,24,20,31
23/04/2021,119,3,3,6,16,13,11,12,19,22,14,0,119,28,24,31,36
24/04/2021,88,2,3,5,11,10,11,6,14,13,13,0,88,21,21,20,26
25/04/2021,97,2,1,5,12,6,7,15,15,18,16,0,97,20,13,30,34
26/04/2021,106,1,3,6,6,7,14,12,24,19,14,0,106,16,21,36,33
27/04/2021,125,2,8,7,11,12,12,15,17,21,20,0,125,28,24,32,41
28/04/2021,85,2,2,3,4,12,7,17,16,12,10,0,85,11,19,33,22
29/04/2021,79,2,1,2,15,13,7,11,11,8,9,0,79,20,20,22,17
30/04/2021,77,4,2,1,7,7,9,14,11,11,11,0,77,14,16,25,22
01/05/2021,64,1,2,6,9,9,8,4,9,7,9,0,64,18,17,13,16
02/05/2021,89,2,3,7,13,7,7,13,9,13,15,0,89,25,14,22,28
03/05/2021,93,5,3,5,13,13,8,11,13,15,6,1,92,26,21,24,21
04/05/2021,73,4,4,5,8,7,8,10,7,11,8,1,72,21,15,17,19
05/05/2021,91,3,3,2,8,15,15,13,7,11,13,1,90,16,30,20,24
06/05/2021,82,2,2,3,11,16,12,13,8,8,7,0,82,18,28,21,15
07/05/2021,72,1,1,3,4,12,10,8,14,9,10,0,72,9,22,22,19
08/05/2021,73,0,3,2,8,8,10,10,8,12,12,0,73,13,18,18,24
09/05/2021,69,1,0,1,5,7,9,15,14,7,10,0,69,7,16,29,17
10/05/2021,72,6,3,2,9,7,10,9,8,12,6,0,72,20,17,17,18
11/05/2021,76,6,3,5,9,10,9,8,11,7,8,0,76,23,19,19,15
12/05/2021,88,2,2,4,8,15,9,11,13,11,13,0,88,16,24,24,24
13/05/2021,73,0,2,2,8,15,11,11,8,4,12,0,73,12,26,19,16
14/05/2021,71,1,3,3,7,15,5,9,13,7,8,0,71,14,20,22,15
15/05/2021,65,1,1,3,8,10,14,5,13,6,4,0,65,13,24,18,10
16/05/2021,58,0,3,2,7,11,8,7,6,7,7,0,58,12,19,13,14
17/05/2021,72,4,2,4,4,18,12,7,4,7,10,0,72,14,30,11,17
18/05/2021,84,0,2,5,10,20,13,11,9,6,8,0,84,17,33,20,14
19/05/2021,90,3,2,3,15,12,16,8,12,11,8,0,90,23,28,20,19
20/05/2021,92,3,1,3,12,22,16,9,5,10,11,0,92,19,38,14,21
21/05/2021,82,4,3,7,7,12,13,9,6,12,9,0,82,21,25,15,21
22/05/2021,71,2,5,5,12,8,10,10,7,4,8,0,71,24,18,17,12
23/05/2021,76,2,6,7,12,7,7,8,5,15,7,0,76,27,14,13,22
24/05/2021,96,2,0,6,15,17,8,16,9,14,9,0,96,23,25,25,23
25/05/2021,83,2,1,9,16,15,12,3,8,8,9,0,83,28,27,11,17
26/05/2021,92,2,6,6,9,23,16,5,11,7,7,0,92,23,39,16,14
27/05/2021,82,1,1,6,8,22,9,10,9,10,6,0,82,16,31,19,16
28/05/2021,91,4,1,5,18,21,15,6,7,9,5,0,91,28,36,13,14
29/05/2021,64,3,2,4,6,11,9,9,8,7,5,0,64,15,20,17,12
30/05/2021,77,7,3,4,9,14,9,8,10,10,3,0,77,23,23,18,13
31/05/2021,96,4,1,5,10,17,9,10,11,20,9,0,96,20,26,21,29
01/06/2021,114,3,6,7,20,25,12,12,12,8,9,0,114,36,37,24,17
02/06/2021,96,3,4,6,15,20,12,12,6,11,7,0,96,28,32,18,18
03/06/2021,88,6,1,10,11,15,8,17,8,7,5,0,88,28,23,25,12
04/06/2021,93,4,1,4,16,20,20,8,5,9,6,0,93,25,40,13,15
05/06/2021,94,4,4,7,7,13,18,9,9,12,7,4,90,22,31,18,19
06/06/2021,119,3,5,9,20,22,20,13,8,12,7,0,119,37,42,21,19
07/06/2021,127,8,8,10,21,22,15,17,9,9,8,0,127,47,37,26,17
08/06/2021,143,8,8,11,16,26,15,15,11,21,12,0,143,43,41,26,33
09/06/2021,152,7,7,11,17,31,30,12,8,13,16,0,152,42,61,20,29
10/06/2021,158,3,2,16,38,26,27,12,18,11,5,0,158,59,53,30,16
11/06/2021,139,3,2,14,22,28,11,16,13,17,13,0,139,41,39,29,30
12/06/2021,125,3,5,7,23,25,11,17,10,13,11,0,125,38,36,27,24
13/06/2021,185,2,5,13,32,26,29,28,19,14,17,0,185,52,55,47,31
14/06/2021,178,4,6,15,26,23,24,21,18,21,16,4,174,51,47,39,37
15/06/2021,186,12,10,18,32,28,23,17,16,21,9,0,186,72,51,33,30
16/06/2021,175,6,6,13,27,21,29,21,17,20,15,0,175,52,50,38,35
17/06/2021,199,6,4,16,34,32,29,21,25,13,19,0,199,60,61,46,32
18/06/2021,182,7,5,16,24,29,33,21,21,18,8,0,182,52,62,42,26
19/06/2021,175,7,6,23,33,30,21,16,18,10,11,0,175,69,51,34,21
20/06/2021,168,8,7,15,38,21,22,16,16,17,8,0,168,68,43,32,25
21/06/2021,178,7,4,18,28,25,28,14,26,16,10,2,176,57,53,40,26
22/06/2021,178,8,6,21,31,28,26,17,20,10,11,0,178,66,54,37,21
23/06/2021,210,8,5,18,37,34,32,17,23,22,12,2,208,68,66,40,34
24/06/2021,189,9,6,19,36,13,23,33,13,22,11,4,185,70,36,46,33
25/06/2021,200,7,9,21,28,26,27,25,15,27,12,3,197,65,53,40,39
26/06/2021,220,13,13,23,33,27,30,20,22,26,11,2,218,82,57,42,37
27/06/2021,219,5,3,19,40,35,33,22,25,22,15,0,219,67,68,47,37
28/06/2021,238,4,5,27,39,38,23,34,22,25,19,2,236,75,61,56,44
29/06/2021,279,17,10,22,44,41,25,32,33,33,19,3,276,93,66,65,52
30/06/2021,325,15,8,27,62,48,37,31,25,46,24,2,323,112,85,56,70
01/07/2021,292,11,8,26,38,43,34,28,32,37,30,5,287,83,77,60,67
02/07/2021,303,6,15,20,49,46,31,32,30,34,32,8,295,90,77,62,66
03/07/2021,318,7,12,28,62,34,41,34,36,31,25,8,310,109,75,70,56
04/07/2021,381,15,15,41,61,55,41,45,35,41,32,0,381,132,96,80,73
05/07/2021,409,15,9,39,67,57,53,40,39,49,41,0,409,130,110,79,90
06/07/2021,450,12,12,47,72,58,58,47,54,51,39,0,450,143,116,101,90
07/07/2021,454,8,8,36,82,74,58,50,55,45,38,0,454,134,132,105,83
08/07/2021,481,7,11,51,72,72,46,65,59,56,42,0,481,141,118,124,98
09/07/2021,441,18,11,27,73,65,59,54,43,51,40,0,441,129,124,97,91
10/07/2021,433,7,13,32,84,68,56,48,46,49,30,0,433,136,124,94,79
11/07/2021,496,22,12,38,81,67,62,56,48,55,55,0,496,153,129,104,110
12/07/2021,603,27,27,50,84,76,75,76,68,67,53,0,603,188,151,144,120
13/07/2021,615,21,21,40,93,96,87,82,84,52,39,0,615,175,183,166,91
14/07/2021,628,18,18,47,111,83,79,85,79,62,46,0,628,194,162,164,108
15/07/2021,654,17,20,48,128,96,79,79,65,76,46,0,654,213,175,144,122
16/07/2021,585,18,18,38,104,87,75,81,72,47,44,1,584,178,162,153,91
17/07/2021,609,20,17,43,87,84,83,77,58,81,58,1,608,167,167,135,139
18/07/2021,688,23,14,64,105,101,84,83,83,61,70,0,688,206,185,166,131
19/07/2021,736,29,23,47,110,106,88,95,86,106,46,0,736,209,194,181,152
20/07/2021,788,25,30,38,134,115,106,100,99,89,52,0,788,227,221,199,141
21/07/2021,772,25,28,53,107,97,102,93,92,96,79,0,772,213,199,185,175
22/07/2021,806,23,31,46,144,105,113,106,97,85,56,0,806,244,218,203,141
23/07/2021,713,15,27,40,120,100,104,85,72,74,76,0,713,202,204,157,150
24/07/2021,718,18,27,47,109,107,95,94,83,79,59,0,718,201,202,177,138
25/07/2021,814,33,25,48,122,104,119,110,102,88,63,0,814,228,223,212,151
26/07/2021,813,28,29,50,106,101,113,108,98,92,80,8,805,213,214,206,172
27/07/2021,795,29,18,41,130,119,102,105,87,103,61,0,795,218,221,192,164
28/07/2021,710,15,18,40,101,100,90,115,80,104,47,0,710,174,190,195,151
29/07/2021,739,22,23,41,113,105,94,96,102,83,60,0,739,199,199,198,143
30/07/2021,622,17,16,32,97,89,78,91,75,84,43,0,622,162,167,166,127
31/07/2021,573,20,15,40,83,74,62,72,75,75,57,0,573,158,136,147,132
01/08/2021,628,27,22,47,88,79,83,63,72,94,53,0,628,184,162,135,147
02/08/2021,676,17,15,39,101,84,93,84,99,89,55,0,676,172,177,183,144
03/08/2021,667,22,14,39,91,88,83,85,77,105,63,0,667,166,171,162,168
04/08/2021,736,24,22,48,99,82,94,88,94,106,78,1,735,193,176,182,184
05/08/2021,683,24,19,52,93,79,97,89,98,86,46,0,683,188,176,187,132
06/08/2021,648,21,16,29,94,84,85,74,98,101,46,0,648,160,169,172,147
07/08/2021,611,13,20,33,86,81,72,68,91,83,64,0,611,152,153,159,147
08/08/2021,636,18,23,43,77,86,75,83,74,85,72,0,636,161,161,157,157
09/08/2021,653,23,20,33,85,69,81,77,103,94,68,0,653,161,150,180,162
10/08/2021,746,16,19,53,104,93,94,90,102,107,68,0,746,192,187,192,175
11/08/2021,722,23,9,40,94,79,77,94,107,131,68,0,722,166,156,201,199
12/08/2021,737,21,24,43,112,89,85,90,90,120,63,0,737,200,174,180,183
13/08/2021,675,15,24,35,84,73,59,89,98,126,72,0,675,158,132,187,198
14/08/2021,674,22,14,32,87,73,76,85,102,109,74,0,674,155,149,187,183
15/08/2021,707,21,23,32,69,59,77,105,116,115,90,0,707,145,136,221,205
16/08/2021,764,18,19,41,71,71,71,109,131,143,90,0,764,149,142,240,233
17/08/2021,823,22,20,47,97,100,79,107,120,144,87,0,823,186,179,227,231
18/08/2021,773,24,16,33,108,75,81,100,116,138,82,0,773,181,156,216,220
19/08/2021,800,26,31,45,98,72,93,119,123,125,68,0,800,200,165,242,193
20/08/2021,723,16,22,32,78,68,88,102,126,122,69,0,723,148,156,228,191
21/08/2021,734,17,15,30,80,70,76,92,122,136,96,0,734,142,146,214,232
22/08/2021,702,27,14,25,77,71,68,102,103,129,86,0,702,143,139,205,215
23/08/2021,811,31,21,35,89,81,91,109,107,161,86,0,811,176,172,216,247
24/08/2021,795,23,20,27,108,74,100,105,125,128,85,0,795,178,174,230,213
25/08/2021,826,22,29,42,82,74,88,109,146,123,111,0,826,175,162,255,234
26/08/2021,752,17,14,24,93,68,86,102,123,130,95,0,752,148,154,225,225
27/08/2021,726,17,19,32,72,79,93,94,109,117,94,0,726,140,172,203,211
28/08/2021,670,26,16,19,59,78,84,85,98,124,81,0,670,120,162,183,205
29/08/2021,687,26,19,30,67,55,75,102,104,115,94,0,687,142,130,206,209
30/08/2021,796,19,19,24,75,89,95,117,123,130,105,0,796,137,184,240,235
31/08/2021,772,17,23,27,85,73,86,91,121,143,105,1,771,152,159,212,248
01/09/2021,821,23,21,28,79,81,86,123,145,142,93,0,821,151,167,268,235
02/09/2021,771,21,30,23,85,78,83,99,117,126,109,0,771,159,161,216,235
03/09/2021,679,16,18,18,48,74,79,102,133,118,73,0,679,100,153,235,191
04/09/2021,741,21,14,20,61,73,95,106,121,133,95,2,739,116,168,227,228
05/09/2021,677,16,22,21,65,56,83,85,114,130,85,0,677,124,139,199,215
